 , degree, betweeness, closeness, random
89.56008, 0.08912, 0.53792, 0.12407, 0.08322
89.77281, 0.08864, 0.53668, 0.12410, 0.08322
89.98555, 0.08827, 0.53544, 0.12376, 0.08322
90.19828, 0.08829, 0.53420, 0.12379, 0.08060
90.41101, 0.08794, 0.53297, 0.12346, 0.08060
90.62374, 0.08747, 0.53141, 0.12349, 0.08060
90.83647, 0.08723, 0.53167, 0.12352, 0.08060
91.04921, 0.08703, 0.53032, 0.12319, 0.08060
91.26194, 0.08656, 0.52877, 0.12322, 0.08059
91.47467, 0.08656, 0.52722, 0.12289, 0.08059
91.68740, 0.08635, 0.52568, 0.12256, 0.08059
91.90013, 0.08589, 0.52414, 0.12238, 0.08057
92.11286, 0.08594, 0.52261, 0.12230, 0.08057
92.32560, 0.08548, 0.52108, 0.12166, 0.08056
92.53833, 0.08526, 0.51956, 0.12103, 0.08057
92.75106, 0.08504, 0.51804, 0.12041, 0.08057
92.96379, 0.08459, 0.51653, 0.12041, 0.07812
93.17652, 0.08413, 0.51643, 0.11978, 0.07812
93.38925, 0.08391, 0.51634, 0.11916, 0.07812
93.60199, 0.08369, 0.51624, 0.11855, 0.08513
93.81472, 0.08372, 0.51615, 0.11793, 0.08514
94.02745, 0.08327, 0.51357, 0.11793, 0.08513
94.24018, 0.08282, 0.51100, 0.11732, 0.08514
94.45291, 0.08254, 0.50845, 0.11672, 0.08514
94.66565, 0.08210, 0.50591, 0.11611, 0.08514
94.87838, 0.08188, 0.50338, 0.11551, 0.08515
95.09111, 0.08144, 0.50086, 0.11492, 0.08515
95.30384, 0.08123, 0.49836, 0.11462, 0.07619
95.51657, 0.08080, 0.49587, 0.11403, 0.07620
95.72930, 0.08036, 0.49339, 0.11344, 0.07620
95.94204, 0.07993, 0.49092, 0.11286, 0.07620
96.15477, 0.07972, 0.48846, 0.11227, 0.07425
96.36750, 0.07929, 0.48602, 0.11169, 0.07239
96.58023, 0.07886, 0.48359, 0.11112, 0.07239
96.79296, 0.07844, 0.48116, 0.11054, 0.07061
97.00570, 0.07824, 0.47875, 0.10997, 0.07061
97.21843, 0.07807, 0.47636, 0.10940, 0.07061
97.43116, 0.07786, 0.47397, 0.10936, 0.07060
97.64389, 0.07744, 0.47159, 0.10879, 0.07060
97.85662, 0.07702, 0.46923, 0.10823, 0.07060
98.06935, 0.07660, 0.46688, 0.10767, 0.07060
98.28209, 0.07644, 0.46453, 0.10712, 0.07060
98.49482, 0.07602, 0.46220, 0.10656, 0.06893
98.70755, 0.07561, 0.45988, 0.10601, 0.06893
98.92028, 0.07520, 0.45757, 0.10546, 0.06892
99.13301, 0.07479, 0.45527, 0.10492, 0.06892
99.34574, 0.07480, 0.45492, 0.10437, 0.06892
99.55848, 0.07439, 0.45263, 0.10383, 0.06893
99.77121, 0.07422, 0.45036, 0.10330, 0.06892
